tube_no	rel_conc
5	0.0023279156253429197
21	0.0015780690172814982
29	0.0013240164497478415
12	0.004934911552859394
23	0.0011118806187377797
4	0.0016107417272000516
24	0.0032721861283288287
6	0.004784552328103219
7	0.0038297136852672633
9	0.0060598861790299415
11	0.004263836492355255
5	0.0010488648730752094
22	0.0038652580604953595
29	0.0010058887371093039
12	0.004495743766275602
25	0.0015828909395417864
4	0.0012613875025135675
24	0.00273791928384006
6	0.0036805582068297612
15	0.014336972513093184
9	0.0038366066914056226
14	0.004466886539467233
5	0.0033192754034732934
22	0.004052310360952135
1	0.0012863039656274583
12	0.005535847740882831
25	7.52815984975828e-4
19	0.0013552037731217874
24	0.002998484398095043
6	0.004124720212177359
15	0.011248098310503375
9	0.003933901995766147
14	0.005092748879008314
8	0.004362136520408089
22	0.0037537845134266836
1	0.001661677927722137
13	0.005827250314442129
25	0.0012915419077948645
19	0.0020784080564317034
28	0.0023988883249059356
6	0.0023862210485786906
16	0.005674513552514136
10	0.003387393390895956
14	0.00504712666156531
8	0.004669655924740486
27	0
1	0.0012120171909960663
13	0.004494182123444752
3	0.002866780530604181
19	0.0014670539317425248
28	0.0026277731665354125
6	0.0024985050261894454
16	0.006887503560630514
10	0.004962213224357835
26	0.007828668404575037
8	0.0040560895191253735
27	0
2	0.001075779601236183
13	0.004228401164338873
3	0.004409629461451561
20	0.0011454345040683702
28	4.766041637877244e-4
6	0.0032912954331518664
17	0.006496225034806069
10	0.002649911419008099
26	0.006900178787880688
21	0.003293534782411532
27	2.66355241213686e-4
2	0.0034932728467363936
23	0.0034242654084286864
3	0.0034553196146995414
20	0.002888005628127894
6	0
6	0.004531678439688362
17	0.006471533467959171
11	0.0029778094549111956
26	0.011213559196214943
21	2.911321947409943e-4
29	0.001313658851529507
2	0.0022413485837000993
23	0.0034091350192115505
4	0.003783872011381166
20	0.0028625752774813235
6	0.001539841641058905
7	0.00318670804013053
18	0.0026908619412939583
11	0.0026120433256104757
18	0.005449707513268452
