Block Type,96well,,,,
Chemistry,TAQMAN,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,
Instrument Type,steponeplus,,,,
Passive Reference,ROX,,,,
,,,,,
Well,Cycle,BLUE,GREEN,YELLOW,RED
B12,9,20283,7922,12410,22445
C1,9,19868,7901,12450,22791
C2,9,19258,7602,12214,22613
C3,9,24692,10433,19131,33049
C4,9,26319,10927,20852,35630
C5,9,21068,8707,13317,24111
C6,9,27651,11472,16849,30174
C7,9,19819,7770,12697,23485
C8,9,25094,10558,19751,34086
C9,9,23449,9787,17911,31070
C10,9,19805,7870,12580,22871
C11,9,17567,6740,11165,20700
C12,9,22011,8838,13460,24142
D1,9,20243,8037,12579,22947
D2,9,19613,7722,12373,22860
D3,9,22735,9548,17819,30995
D4,9,22712,9154,18195,31450
D5,9,20497,8385,12856,23472
D6,9,20271,8238,12986,23486
D7,9,15529,5785,9895,18846
D8,9,24935,10502,19576,33822
D9,9,24944,10241,19307,33346
D10,9,19301,7511,12196,22418
D11,9,16404,6095,10404,19644
D12,9,22285,8791,13543,24466
E1,9,19436,7658,12241,22515
E2,9,18719,7512,11770,21854
E3,9,22251,9227,17401,30469
E4,9,28997,11929,22584,38477
E5,9,22286,9074,14216,26066
E6,9,20755,8435,12900,23071
E7,9,13359,5053,8844,16884
E8,9,25742,10883,19907,34004
E9,9,23420,9543,18265,31736
E10,9,18504,7200,11742,21686
E11,9,17887,6785,11246,21083
E12,9,22145,8768,13451,24329
F1,9,20426,8064,12662,23116
F2,9,18473,7473,11845,21973
F3,9,22828,9601,17803,30907
F4,9,19234,7842,15847,27228
F5,9,20062,8239,13013,23694
F6,9,21786,8843,13524,24264
F7,9,18883,7760,12207,22755
F8,9,28316,11850,21594,36998
F9,9,25724,10600,20510,35182
F10,9,20352,7978,12859,23712
F11,9,18735,7224,11840,22056
F12,9,18574,7189,11421,20990
G1,9,15931,6165,10446,19591
G2,9,18568,7468,11782,21886
G3,9,23193,9407,14273,25644
G4,9,24890,10275,19870,33767
G5,9,25028,10592,20111,34732
G6,9,21145,8560,13055,23471
G7,9,18268,7437,11694,21860
G8,9,24159,10030,18909,32591
G9,9,23909,9764,18928,32525
G10,9,17006,6611,10901,20193
G11,9,16507,6202,10623,20224
G12,9,19221,7432,11710,21536
H1,9,12564,4805,8617,16373
H2,9,17665,7012,11370,21284
H3,9,21080,8571,13379,24328
H4,9,22322,9244,18168,31098
H5,9,24912,10622,20136,34970
H6,9,20831,8447,13086,23824
H7,9,17038,6928,11110,20853
H8,9,22418,9289,17697,30769
H9,9,22646,9413,18421,31852
H10,9,17165,6723,10963,20249
H11,9,12326,4473,8042,15571
H12,9,16897,6408,10424,19443
A1,10,17432,6948,11296,21181
A2,10,34882,14200,20808,37251
A3,10,21594,9122,16769,29023
A4,10,23328,9858,18465,31803
A5,10,18555,7563,11934,21835
A6,10,20429,8411,12717,22855
A7,10,19067,7805,15423,27132
A8,10,23977,10087,18847,32389
A9,10,20656,8389,16251,28571
A10,10,17672,6961,11338,20836
A11,10,17248,6640,10438,19408
A12,10,16835,6573,10552,19426
B1,10,17410,6846,11259,21032
B2,10,20022,7830,12673,23630
B3,10,24164,10177,18570,32200
B4,10,23374,9820,18521,31896
B5,10,18543,7400,11586,21278
B6,10,21963,8938,13452,24119
B7,10,20439,8344,16309,28670
B8,10,23054,9516,18088,31479
B9,10,22847,9577,17593,30741
B10,10,19244,7461,12167,22576
B11,10,17629,6802,11093,20605
B12,10,20213,7898,12338,22355
C1,10,19913,7922,12451,22808
C2,10,19253,7594,12200,22602
C3,10,24752,10454,19099,33009
C4,10,26348,10948,20801,35590
C5,10,21076,8705,13286,24060
C6,10,27768,11518,16883,30226
C7,10,19795,7751,12655,23431
C8,10,25140,10574,19666,34016
C9,10,23539,9819,17864,30999
C10,10,19818,7876,12554,22854
C11,10,17449,6685,11061,20548
C12,10,22006,8837,13440,24124
D1,10,20284,8058,12596,22977
D2,10,19673,7758,12398,22879
D3,10,22912,9634,17841,31064
D4,10,22972,9274,18317,31699
D5,10,20676,8466,12968,23630
D6,10,20288,8237,12995,23581
D7,10,15499,5785,9854,18757
D8,10,25020,10540,19549,33793
D9,10,25117,10329,19322,33440
D10,10,19273,7503,12166,22396
D11,10,16332,6077,10336,19540
D12,10,22239,8779,13484,24386
E1,10,19451,7692,12250,22498
E2,10,18734,7506,11726,21807
E3,10,22348,9259,17361,30427
E4,10,29183,12025,22615,38561
E5,10,22400,9139,14258,26129
E6,10,20733,8434,12859,23031
E7,10,13363,5078,8854,16870
E8,10,25725,10861,19794,33881
E9,10,23567,9629,18284,31837
E10,10,18501,7197,11724,21644
E11,10,17864,6773,11216,21035
E12,10,22058,8733,13376,24227
F1,10,20385,8033,12605,23041
F2,10,18443,7455,11791,21877
F3,10,22868,9593,17704,30773
F4,10,19295,7861,15835,27245
F5,10,20020,8217,12965,23634
F6,10,21832,8879,13501,24249
F7,10,18875,7768,12175,22696
F8,10,28370,11860,21515,36957
F9,10,25702,10618,20416,35090
F10,10,20445,8010,12866,23758
F11,10,18835,7260,11884,22101
F12,10,18474,7150,11365,20885
G1,10,15909,6163,10433,19580
G2,10,18478,7439,11717,21773
G3,10,23227,9418,14274,25637
G4,10,24842,10253,19768,33641
G5,10,25041,10592,20027,34633
G6,10,21207,8586,13052,23529
G7,10,18252,7424,11662,21796
G8,10,24153,10047,18819,32503
G9,10,23884,9751,18832,32397
G10,10,16958,6582,10851,20138
G11,10,16517,6212,10613,20210
G12,10,19164,7405,11672,21467
H1,10,12521,4776,8594,16344
H2,10,17638,6986,11318,21238
H3,10,21104,8578,13346,24309
H4,10,22301,9242,18092,30989
H5,10,24927,10613,20027,34825
H6,10,20867,8455,13073,23798
H7,10,17045,6932,11091,20826
H8,10,22428,9311,17626,30679
H9,10,22585,9389,18298,31656
H10,10,17219,6742,10986,20270
H11,10,12394,4481,8074,15603
H12,10,16903,6408,10397,19411
A1,11,17424,6922,11268,21147
A2,11,34972,14240,20824,37274
A3,11,21547,9090,16663,28873
A4,11,23302,9861,18373,31698
A5,11,18558,7550,11920,21827
A6,11,20410,8408,12687,22830
A7,11,19054,7816,15326,27001
A8,11,24015,10102,18784,32313
A9,11,20683,8390,16213,28513
A10,11,17623,6939,11289,20768
A11,11,17220,6650,10416,19361
A12,11,16799,6542,10515,19375
B1,11,17438,6859,11260,21033
B2,11,20062,7852,12700,23652
B3,11,24159,10178,18499,32109
B4,11,23470,9858,18501,31928
B5,11,18582,7420,11576,21279
B6,11,22037,8969,13466,24163
B7,11,20486,8360,16272,28638
B8,11,23025,9504,17972,31369
B9,11,22856,9573,17492,30602
B10,11,19224,7457,12158,22544
B11,11,17715,6838,11119,20641
B12,11,20211,7908,12346,22334
C1,11,19921,7944,12421,22771
C2,11,19240,7611,12162,22534
C3,11,24739,10449,18992,32900
C4,11,26359,10924,20708,35480
C5,11,21093,8732,13291,24084
C6,11,27705,11515,16831,30156
C7,11,19780,7750,12627,23385
C8,11,25146,10595,19605,33912
C9,11,23713,9889,17912,31135
C10,11,19812,7873,12560,22844
C11,11,17452,6689,11051,20564
C12,11,21941,8814,13392,24032
D1,11,20288,8056,12563,22920
D2,11,19752,7799,12410,22925
D3,11,23003,9665,17818,31059
D4,11,22727,9155,18065,31310
D5,11,20689,8475,12943,23608
D6,11,20155,8195,12940,23487
D7,11,15531,5801,9860,18795
D8,11,25035,10571,19468,33723
D9,11,25229,10410,19368,33513
D10,11,19278,7493,12173,22376
D11,11,16255,6026,10278,19455
D12,11,22135,8722,13410,24277
E1,11,19406,7650,12190,22401
E2,11,18802,7562,11754,21850
E3,11,22347,9263,17257,30300
E4,11,28925,11908,22382,38180
E5,11,22409,9164,14250,26110
E6,11,20761,8437,12852,23011
E7,11,13372,5079,8859,16877
E8,11,25875,10927,19785,33935
E9,11,23671,9682,18287,31907
E10,11,18481,7177,11690,21591
E11,11,17826,6751,11181,20974
E12,11,22051,8714,13355,24186
F1,11,20311,8008,12564,22970
F2,11,18511,7488,11805,21929
F3,11,22884,9618,17633,30716
F4,11,19281,7855,15781,27179
F5,11,20027,8225,12928,23595
F6,11,21857,8889,13517,24244
F7,11,18830,7750,12128,22604
F8,11,28406,11857,21423,36847
F9,11,25662,10606,20336,34987
F10,11,20345,7947,12795,23657
F11,11,18803,7257,11829,22057
F12,11,18439,7124,11318,20831
G1,11,15953,6177,10435,19600
G2,11,18493,7437,11686,21736
G3,11,23213,9422,14265,25623
G4,11,24911,10296,19763,33650
G5,11,25102,10637,19993,34611
G6,11,21231,8600,13042,23494
G7,11,18284,7455,11678,21803
G8,11,24123,10015,18674,32325
G9,11,23797,9718,18703,32193
G10,11,16955,6580,10834,20095
G11,11,16498,6192,10583,20176
G12,11,19156,7399,11638,21435
H1,11,12479,4785,8563,16309
H2,11,17645,7025,11327,21196
H3,11,21095,8594,13330,24295
H4,11,22244,9205,17982,30856
H5,11,24895,10596,19945,34719
H6,11,20888,8461,13063,23796
H7,11,17058,6945,11083,20809
H8,11,22427,9297,17535,30584
H9,11,22545,9373,18211,31535
H10,11,17206,6747,10962,20227
H11,11,12380,4464,8051,15571
H12,11,16831,6388,10363,19360
A1,12,17375,6914,11231,21056
A2,12,34996,14255,20837,37269
A3,12,21528,9106,16550,28744
A4,12,23285,9854,18256,31561
A5,12,18542,7549,11889,21777
A6,12,20429,8431,12680,22808
A7,12,19017,7795,15243,26897
A8,12,24019,10129,18706,32234
A9,12,20651,8376,16102,28378
A10,12,17650,6971,11298,20785
A11,12,17273,6671,10426,19384
A12,12,16766,6525,10487,19355
B1,12,17484,6888,11274,21057
B2,12,20057,7869,12669,23641
B3,12,24222,10195,18430,32030
B4,12,23336,9790,18330,31668
B5,12,18544,7411,11541,21232
B6,12,22008,8960,13434,24101
B7,12,20414,8311,16120,28433
B8,12,23000,9493,17867,31231
B9,12,22924,9603,17453,30597
B10,12,19289,7491,12174,22573
B11,12,17496,6731,10974,20408
B12,12,20226,7919,12335,22341
C1,12,19903,7913,12383,22696
C2,12,19245,7586,12141,22508
C3,12,24639,10412,18834,32661
C4,12,26392,10954,20676,35466
C5,12,21200,8751,13324,24135
C6,12,27854,11589,16891,30244
C7,12,19874,7814,12673,23470
C8,12,25183,10612,19529,33841
C9,12,23643,9893,17801,30978
C10,12,19817,7866,12542,22859
C11,12,17482,6701,11039,20515
C12,12,21957,8819,13384,24035
D1,12,20204,8011,12471,22796
D2,12,19611,7716,12300,22740
D3,12,22940,9655,17698,30888
D4,12,23065,9324,18234,31608
D5,12,20672,8472,12895,23558
D6,12,20170,8227,12976,23570
D7,12,15574,5818,9847,18806
D8,12,25084,10564,19402,33652
D9,12,25214,10392,19222,33368
D10,12,19304,7511,12170,22383
D11,12,16398,6100,10341,19554
D12,12,22177,8753,13443,24301
E1,12,19335,7614,12109,22296
E2,12,18738,7534,11689,21739
E3,12,22297,9243,17151,30157
E4,12,29330,12093,22566,38557
E5,12,22459,9185,14241,26113
E6,12,20724,8414,12811,22920
E7,12,13402,5068,8854,16871
E8,12,25876,10935,19719,33850
E9,12,23640,9682,18189,31773
E10,12,18595,7265,11744,21706
E11,12,17968,6826,11225,21081
E12,12,22096,8759,13393,24248
F1,12,20299,8006,12521,22929
F2,12,18378,7433,11698,21733
F3,12,22918,9639,17585,30657
F4,12,19353,7899,15763,27212
F5,12,20054,8251,12945,23604
F6,12,21896,8911,13513,24268
F7,12,18872,7778,12149,22628
F8,12,28362,11862,21311,36702
F9,12,25500,10508,20152,34706
F10,12,20556,8070,12911,23851
F11,12,18871,7288,11892,22152
F12,12,18420,7121,11296,20794
G1,12,15952,6180,10422,19578
G2,12,18569,7484,11721,21791
G3,12,23261,9448,14279,25604
G4,12,24883,10268,19670,33562
G5,12,25115,10645,19923,34523
G6,12,21263,8613,13052,23491
G7,12,18291,7465,11640,21763
G8,12,24164,10037,18624,32280
G9,12,23857,9733,18648,32146
G10,12,16919,6567,10817,20065
G11,12,16459,6172,10533,20116
G12,12,19084,7351,11588,21337
H1,12,12536,4787,8602,16348
H2,12,17651,6994,11290,21167
H3,12,21090,8586,13333,24259
H4,12,22287,9225,17946,30839
H5,12,24914,10602,19838,34595
H6,12,20887,8470,13031,23756
H7,12,17041,6936,11038,20755
H8,12,22441,9309,17473,30515
H9,12,22502,9335,18092,31376
H10,12,17186,6730,10919,20171
H11,12,12346,4487,8034,15536
H12,12,16805,6371,10344,19324
A1,13,17327,6881,11139,20927
A2,13,35044,14281,20837,37279
A3,13,21566,9107,16500,28718
A4,13,23318,9857,18188,31473
A5,13,18545,7545,11862,21743
A6,13,20408,8398,12646,22737
A7,13,18988,7787,15145,26790
A8,13,24029,10109,18613,32144
A9,13,20605,8351,15982,28232
A10,13,17604,6931,11243,20727
A11,13,17274,6670,10418,19362
A12,13,16791,6556,10506,19341
B1,13,17664,6961,11366,21213
B2,13,20129,7864,12688,23660
B3,13,24156,10191,18329,31907
B4,13,23391,9808,18289,31631
B5,13,18585,7429,11568,21245
B6,13,22047,8975,13433,24113
B7,13,20445,8340,16092,28414
B8,13,23033,9501,17818,31194
B9,13,22979,9624,17437,30577
B10,13,19270,7474,12149,22527
B11,13,17414,6686,10899,20275
B12,13,20141,7862,12269,22256
C1,13,19883,7894,12312,22610
C2,13,19283,7614,12147,22527
C3,13,24885,10526,18929,32848
C4,13,26383,10953,20549,35316
C5,13,21099,8735,13237,23996
C6,13,27819,11565,16829,30173
C7,13,19766,7754,12570,23325
C8,13,25192,10602,19449,33759
C9,13,23640,9872,17707,30880
C10,13,19800,7860,12523,22821
C11,13,17623,6770,11103,20645
C12,13,21949,8798,13355,24009
D1,13,20112,7962,12397,22633
D2,13,19799,7819,12399,22917
D3,13,23008,9681,17648,30854
D4,13,23023,9299,18143,31513
D5,13,20522,8379,12787,23352
D6,13,20060,8173,12938,23509
D7,13,15631,5830,9860,18808
D8,13,25027,10560,19274,33492
D9,13,25123,10357,19087,33172
D10,13,19254,7478,12108,22286
D11,13,16530,6168,10407,19694
D12,13,22169,8739,13420,24293
E1,13,19323,7612,12093,22256
E2,13,18903,7603,11790,21885
E3,13,22454,9319,17184,30278
E4,13,29358,12104,22507,38511
E5,13,22532,9215,14266,26141
E6,13,20711,8415,12780,22888
E7,13,13446,5109,8841,16898
E8,13,25791,10902,19578,33665
E9,13,23552,9619,18037,31568
E10,13,18528,7215,11701,21608
E11,13,18069,6864,11286,21170
E12,13,22074,8735,13343,24167
F1,13,20281,7989,12493,22861
F2,13,18599,7548,11825,21954
F3,13,23015,9694,17589,30691
F4,13,19429,7929,15775,27245
F5,13,20133,8271,12963,23646
F6,13,21878,8896,13470,24208
F7,13,18926,7799,12143,22623
F8,13,28353,11821,21178,36553
F9,13,25406,10490,19987,34507
F10,13,20534,8062,12892,23807
F11,13,19050,7358,11955,22286
F12,13,18428,7133,11308,20825
G1,13,16023,6215,10449,19614
G2,13,18472,7437,11628,21631
G3,13,23273,9458,14234,25581
G4,13,24861,10267,19590,33455
G5,13,25117,10634,19811,34403
G6,13,21317,8647,13055,23507
G7,13,18282,7456,11617,21715
G8,13,24215,10048,18590,32265
G9,13,23885,9746,18610,32104
G10,13,16844,6535,10733,19952
G11,13,16399,6156,10517,20075
G12,13,19081,7349,11586,21350
H1,13,12479,4781,8551,16300
H2,13,17628,7000,11248,21117
H3,13,21106,8589,13322,24243
H4,13,22259,9186,17859,30724
H5,13,24885,10608,19722,34480
H6,13,20867,8460,13013,23711
H7,13,17031,6941,11024,20702
H8,13,22387,9286,17361,30368
H9,13,22447,9323,17985,31234
H10,13,17207,6748,10915,20186
H11,13,12360,4464,8031,15558
H12,13,16801,6359,10336,19281
A1,14,17419,6940,11200,21009
A2,14,35048,14268,20817,37250
A3,14,21523,9097,16426,28603
A4,14,23306,9842,18111,31394
A5,14,18513,7552,11848,21713
A6,14,20437,8420,12651,22752
A7,14,18998,7797,15072,26696
A8,14,24047,10133,18570,32080
A9,14,20631,8376,15929,28212
A10,14,17575,6912,11233,20689
A11,14,17321,6687,10416,19381
A12,14,16758,6545,10454,19301
B1,14,17474,6879,11207,20969
B2,14,20069,7866,12642,23575
B3,14,24162,10191,18254,31808
B4,14,23409,9842,18225,31577
B5,14,18571,7420,11531,21202
B6,14,22128,9026,13468,24172
B7,14,20390,8309,15983,28275
B8,14,23038,9509,17748,31094
B9,14,23089,9659,17407,30599
B10,14,19266,7483,12134,22520
B11,14,17278,6615,10802,20107
B12,14,20124,7864,12250,22230
C1,14,19846,7909,12323,22618
C2,14,19359,7663,12175,22574
C3,14,24922,10539,18859,32772
C4,14,26393,10952,20494,35244
C5,14,21211,8778,13284,24073
C6,14,27787,11565,16809,30139
C7,14,19758,7732,12551,23273
C8,14,25227,10621,19375,33681
C9,14,23625,9881,17649,30813
C10,14,19810,7863,12507,22792
C11,14,17644,6767,11093,20607
C12,14,21882,8784,13311,23929
D1,14,20200,8020,12440,22742
D2,14,19872,7853,12418,22926
D3,14,23016,9694,17581,30775
D4,14,23005,9291,18064,31403
D5,14,20651,8462,12844,23453
D6,14,19928,8136,12871,23445
D7,14,15671,5839,9880,18830
D8,14,25081,10569,19219,33470
D9,14,25068,10311,18972,33044
D10,14,19253,7495,12104,22283
D11,14,16605,6178,10440,19715
D12,14,22147,8739,13397,24245
E1,14,19416,7650,12113,22319
E2,14,18955,7638,11761,21877
E3,14,22356,9272,17031,30057
E4,14,29298,12083,22389,38343
E5,14,22639,9257,14278,26153
E6,14,20728,8423,12766,22851
E7,14,13531,5141,8881,16918
E8,14,25880,10941,19541,33631
E9,14,23481,9615,17934,31415
E10,14,18540,7222,11694,21592
E11,14,18088,6869,11263,21153
E12,14,22188,8777,13400,24265
F1,14,20256,7981,12480,22821
F2,14,18489,7461,11686,21732
F3,14,23041,9694,17495,30620
F4,14,19421,7923,15717,27173
F5,14,20201,8318,12981,23685
F6,14,21945,8923,13479,24238
F7,14,19008,7859,12191,22718
F8,14,28355,11833,21113,36474
F9,14,25321,10432,19868,34319
F10,14,20532,8047,12859,23770
F11,14,19068,7377,11969,22280
F12,14,18486,7146,11332,20857
G1,14,15988,6192,10406,19570
G2,14,18442,7424,11617,21631
G3,14,23274,9456,14236,25547
G4,14,24921,10288,19567,33452
G5,14,25103,10633,19714,34266
G6,14,21381,8677,13063,23535
G7,14,18268,7448,11582,21665
G8,14,24207,10059,18496,32180
G9,14,23915,9755,18559,32049
G10,14,16777,6500,10668,19859
G11,14,16365,6148,10460,20024
G12,14,19056,7332,11556,21321
H1,14,12492,4790,8561,16313
H2,14,17606,6969,11214,21033
H3,14,21121,8599,13304,24211
H4,14,22212,9183,17781,30618
H5,14,24922,10618,19683,34411
H6,14,20897,8500,13009,23726
H7,14,17005,6926,10999,20662
H8,14,22392,9299,17284,30286
H9,14,22420,9306,17895,31104
H10,14,17161,6729,10883,20131
H11,14,12316,4454,8006,15507
H12,14,16731,6330,10267,19216
A1,15,17361,6905,11140,20887
A2,15,35137,14306,20828,37283
A3,15,21480,9071,16309,28430
A4,15,23328,9856,18068,31329
A5,15,18538,7544,11835,21704
A6,15,20433,8416,12625,22703
A7,15,18928,7733,14952,26517
A8,15,24022,10107,18470,31975
A9,15,20622,8365,15872,28144
A10,15,17551,6903,11205,20642
A11,15,17361,6721,10433,19428
A12,15,16696,6502,10415,19251
B1,15,17605,6934,11279,21086
B2,15,20147,7906,12662,23619
B3,15,24288,10235,18234,31823
B4,15,23405,9833,18161,31502
B5,15,18577,7418,11508,21190
B6,15,22188,9041,13467,24173
B7,15,20476,8360,15988,28312
B8,15,23058,9499,17656,31000
B9,15,23163,9720,17385,30574
B10,15,19234,7474,12103,22481
B11,15,17189,6572,10717,19988
B12,15,20081,7839,12205,22169
C1,15,19753,7842,12212,22441
C2,15,19336,7624,12136,22514
C3,15,24742,10443,18665,32485
C4,15,26394,10973,20428,35156
C5,15,21196,8781,13251,24016
C6,15,27805,11580,16798,30095
C7,15,19724,7729,12501,23200
C8,15,25218,10632,19303,33589
C9,15,23657,9888,17581,30729
C10,15,19789,7849,12483,22746
C11,15,17731,6813,11108,20659
C12,15,21890,8772,13307,23930
D1,15,20058,7942,12330,22554
D2,15,19832,7825,12383,22869
D3,15,23141,9738,17581,30798
D4,15,23046,9308,18014,31369
D5,15,20610,8458,12804,23397
D6,15,19911,8122,12868,23503
D7,15,15762,5875,9902,18870
D8,15,25171,10619,19203,33477
D9,15,25063,10314,18900,32958
D10,15,19268,7506,12087,22272
D11,15,16714,6245,10496,19803
D12,15,22069,8676,13328,24152
E1,15,19368,7630,12065,22218
E2,15,18954,7631,11764,21860
E3,15,22462,9329,17043,30102
E4,15,29430,12141,22432,38441
E5,15,22688,9313,14303,26220
E6,15,20781,8450,12771,22860
E7,15,13597,5183,8905,16982
E8,15,25907,10946,19487,33565
E9,15,23485,9582,17848,31354
E10,15,18552,7226,11676,21612
E11,15,18167,6920,11302,21210
E12,15,21924,8661,13229,23994
F1,15,20264,7989,12445,22808
F2,15,18560,7527,11715,21811
F3,15,23087,9705,17471,30566
F4,15,19521,7958,15721,27210
F5,15,20220,8320,12966,23670
F6,15,21988,8955,13488,24260
F7,15,19046,7859,12191,22725
F8,15,28511,11907,21120,36552
F9,15,25292,10425,19772,34216
F10,15,20513,8039,12836,23746
F11,15,19182,7428,12020,22375
F12,15,18273,7044,11178,20614
G1,15,15944,6197,10376,19511
G2,15,18519,7475,11615,21634
G3,15,23272,9456,14208,25512
G4,15,24882,10256,19482,33306
G5,15,25110,10640,19656,34205
G6,15,21409,8680,13067,23529
G7,15,18310,7481,11575,21659
G8,15,24207,10070,18410,32078
G9,15,23941,9750,18498,31996
G10,15,16757,6486,10647,19805
G11,15,16326,6138,10438,19972
G12,15,19008,7317,11509,21251
H1,15,12490,4770,8540,16263
H2,15,17640,6993,11207,21047
H3,15,21153,8615,13299,24227
H4,15,22219,9184,17718,30535
H5,15,24910,10610,19595,34308
H6,15,20913,8499,12988,23691
H7,15,17005,6931,10978,20633
H8,15,22438,9307,17243,30230
H9,15,22387,9291,17794,30980
H10,15,17169,6734,10884,20135
H11,15,12311,4451,7984,15511
H12,15,16692,6310,10246,19162
A1,16,17431,6935,11138,20937
A2,16,35147,14330,20822,37286
A3,16,21532,9089,16270,28434
A4,16,23276,9838,17956,31153
A5,16,18494,7525,11801,21647
A6,16,20415,8434,12588,22672
A7,16,18919,7732,14888,26474
A8,16,24012,10097,18381,31857
A9,16,20590,8363,15770,27993
A10,16,17529,6904,11161,20596
A11,16,17270,6667,10355,19318
A12,16,16712,6493,10401,19226
B1,16,17561,6920,11250,21029
B2,16,20119,7876,12652,23597
B3,16,24229,10213,18123,31694
B4,16,23369,9800,18035,31350
B5,16,18604,7429,11507,21181
B6,16,22165,9039,13436,24131
B7,16,20456,8329,15873,28178
B8,16,23022,9499,17582,30910
B9,16,23050,9651,17233,30370
B10,16,19293,7482,12109,22487
B11,16,17311,6643,10784,20107
B12,16,20097,7848,12220,22177
C1,16,19910,7910,12297,22598
C2,16,19349,7643,12132,22498
C3,16,24935,10542,18728,32621
C4,16,26492,11010,20418,35223
C5,16,21226,8788,13246,24018
C6,16,27879,11611,16816,30135
C7,16,19741,7730,12521,23201
C8,16,25201,10612,19201,33462
C9,16,23625,9884,17472,30620
C10,16,19800,7882,12465,22756
C11,16,17701,6797,11071,20595
C12,16,21850,8757,13250,23870
D1,16,20262,8032,12435,22742
D2,16,19833,7817,12343,22811
D3,16,23046,9693,17440,30611
D4,16,23212,9384,18080,31466
D5,16,20549,8413,12729,23293
D6,16,19785,8075,12811,23438
D7,16,15706,5845,9839,18755
D8,16,25117,10582,19088,33299
D9,16,25089,10315,18827,32880
D10,16,19312,7522,12109,22311
D11,16,16721,6234,10484,19797
D12,16,22093,8691,13331,24172
E1,16,19486,7691,12127,22346
E2,16,18977,7643,11760,21856
E3,16,22485,9355,16989,30040
E4,16,29500,12177,22375,38376
E5,16,22708,9317,14288,26202
E6,16,20781,8451,12759,22836
E7,16,13634,5199,8893,16981
E8,16,25908,10946,19402,33481
E9,16,23434,9577,17735,31192
E10,16,18580,7243,11689,21609
E11,16,18210,6934,11323,21248
E12,16,22026,8703,13260,24066
F1,16,20305,7993,12465,22796
F2,16,18594,7536,11716,21793
F3,16,23114,9722,17401,30515
F4,16,19458,7941,15632,27080
F5,16,20274,8358,12987,23715
F6,16,22036,8967,13510,24271
F7,16,19093,7900,12203,22783
F8,16,28520,11916,21062,36470
F9,16,25297,10420,19718,34124
F10,16,20503,8046,12815,23705
F11,16,19175,7419,11991,22357
F12,16,18411,7119,11256,20738
G1,16,15905,6170,10343,19461
G2,16,18467,7448,11593,21592
G3,16,23273,9447,14190,25495
G4,16,24874,10262,19422,33270
G5,16,25149,10650,19586,34137
G6,16,21406,8691,13047,23530
G7,16,18208,7430,11496,21500
G8,16,24248,10082,18371,32034
G9,16,24023,9798,18510,32029
G10,16,16759,6503,10651,19816
G11,16,16290,6118,10410,19918
G12,16,18960,7301,11466,21187
H1,16,12479,4785,8535,16245
H2,16,17590,6983,11167,20988
H3,16,21141,8607,13275,24171
H4,16,22210,9183,17655,30455
H5,16,24912,10597,19513,34206
H6,16,20920,8490,12979,23658
H7,16,16955,6909,10905,20543
H8,16,22419,9287,17146,30134
H9,16,22376,9275,17731,30894
H10,16,17101,6710,10825,20038
H11,16,12244,4429,7948,15451
H12,16,16667,6316,10218,19138
A1,17,17383,6905,11096,20841
A2,17,35184,14330,20810,37275
A3,17,21501,9103,16233,28359
A4,17,23267,9829,17878,31088
A5,17,18511,7534,11792,21624
A6,17,20413,8408,12567,22626
A7,17,18960,7750,14853,26443
A8,17,23965,10080,18264,31706
A9,17,20599,8378,15715,27924
A10,17,17490,6879,11126,20549
A11,17,17272,6672,10366,19318
A12,17,16682,6486,10397,19175
B1,17,17663,6986,11292,21117
B2,17,20128,7884,12639,23586
B3,17,24182,10202,18059,31573
B4,17,23371,9800,17971,31294
B5,17,18578,7430,11470,21118
B6,17,22125,9023,13399,24064
B7,17,20447,8330,15811,28062
B8,17,22930,9457,17441,30719
B9,17,23131,9685,17208,30367
B10,17,19250,7471,12084,22455
B11,17,17340,6636,10774,20094
B12,17,20067,7826,12167,22127
C1,17,19828,7866,12203,22448
C2,17,19396,7655,12137,22502
C3,17,25077,10631,18778,32728
C4,17,26493,11000,20360,35121
C5,17,21253,8809,13249,24022
C6,17,27914,11631,16801,30119
C7,17,19953,7843,12637,23435
C8,17,25171,10584,19077,33324
C9,17,23599,9876,17397,30519
C10,17,19805,7857,12460,22729
C11,17,17684,6786,11062,20587
C12,17,21785,8739,13198,23783
D1,17,20091,7956,12325,22546
D2,17,19797,7813,12310,22772
D3,17,23208,9789,17473,30714
D4,17,23156,9362,17977,31342
D5,17,20613,8448,12757,23326
D6,17,19836,8100,12865,23514
D7,17,15842,5922,9928,18906
D8,17,25140,10579,19000,33195
D9,17,25006,10294,18719,32743
D10,17,19241,7491,12051,22195
D11,17,16664,6205,10420,19719
D12,17,22033,8666,13257,24062
E1,17,19416,7646,12063,22248
E2,17,19049,7691,11779,21892
E3,17,22413,9314,16869,29872
E4,17,29479,12189,22313,38306
E5,17,22765,9354,14293,26186
E6,17,20841,8480,12773,22878
E7,17,13623,5199,8902,16960
E8,17,25947,10956,19363,33461
E9,17,23377,9517,17614,31030
E10,17,18548,7227,11644,21539
E11,17,18198,6914,11279,21183
E12,17,22171,8794,13356,24204
F1,17,20354,8021,12492,22860
F2,17,18787,7641,11816,21966
F3,17,23076,9701,17310,30386
F4,17,19527,7965,15616,27096
F5,17,20239,8340,12949,23616
F6,17,22095,9008,13519,24320
F7,17,19042,7873,12159,22675
