site-ID	sample-date	phylum	subphylum	class	order	family	genus	species	identifier	ID-confirmation	archive-locat	notes
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Coleoptera	Dytiscidae	sp	sp	KC		011_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		014_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	sp	sp	KC		007_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		006_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		006_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
SCHB	2023-05-30	Arthropoda	Hexapoda	Insecta	Diptera	Simuliidae	sp	sp	KC		005_SCH_2023	
