Block Type,96well,,
Chemistry,TAQMAN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,FAM,ROX
G12,8,8862.558594,20429.87695
H1,8,5685.624023,15655.04102
H2,8,7810.853027,20331.47852
H3,8,9761.180664,23162.38086
H4,8,10245.52246,30637.58789
H5,8,11428.58203,34304.08984
H6,8,9627.34668,22713.70117
H7,8,7815.154785,19905.00195
H8,8,10252.86523,30132.40039
H9,8,10367.66406,31290.89063
H10,8,7904.46582,19358.5
H11,8,5569.713379,14900.19336
H12,8,7758.124512,18461.91602
A1,9,7996.830566,20168.77539
A2,9,15759.3623,35348.97656
A3,9,9953.067383,28387.7793
A4,9,10774.10352,31258.04492
A5,9,8575.708008,20886.67383
A6,9,9485.739258,21835.47266
A7,9,8659.490234,26642.12695
A8,9,11023.1709,31776.21094
A9,9,9439.137695,28043.52344
A10,9,8103.012207,19866.01758
A11,9,7932.015625,18442.59766
A12,9,7728.680176,18428.20117
B1,9,7992.536133,20048.36523
B2,9,8844.017578,22506.00391
B3,9,11166.37207,31515.70703
B4,9,10780.42383,31353.20117
B5,9,8566.119141,20292.11328
B6,9,10201.01465,22966.72852
B7,9,9276.27832,28069.5332
B8,9,10520.92383,30803.03711
B9,9,10568.5957,30179.50195
B10,9,8790.780273,21440.81836
B11,9,8039.010742,19534.89844
B12,9,9368.154297,21273.70117
C1,9,9162.331055,21602.75195
C2,9,8534.879883,21518.77734
C3,9,11392.10547,32199.84766
C4,9,12126.19141,34897.08203
C5,9,9778.972656,22953.22852
C6,9,12875.7002,28636.31641
C7,9,9056.860352,22346.75977
C8,9,11521.99609,33265.03906
C9,9,10800.46777,30240.49805
C10,9,9112.929688,21758.66602
C11,9,8020.942383,19681.41211
C12,9,10223.20215,22886.21875
D1,9,9343.699219,21737.52734
D2,9,8697.666016,21746.375
D3,9,10455.21777,30209.51563
D4,9,10382.10352,30803.35156
D5,9,9492.775391,22313.41602
D6,9,9355.563477,22398.47266
D7,9,7011.774902,17889.66016
D8,9,11451.64551,32995.28125
D9,9,11451.47168,32517.72656
D10,9,8841.143555,21302.17383
D11,9,7433.884277,18652.26953
D12,9,10316.06055,23169.91016
E1,9,8940.035156,21347.38672
E2,9,8323.865234,20767.02148
E3,9,10201.3584,29674.45508
E4,9,13366.63672,37645.93359
E5,9,10292.55078,24815.92773
E6,9,9618.097656,21953.67188
E7,9,6021.833984,16080.81055
E8,9,11869.06836,33167.67578
E9,9,10720.08398,30951.43359
E10,9,8466.981445,20607.34961
E11,9,8146.972168,20007.02539
E12,9,10256.02832,23035.11914
F1,9,9420.448242,21892.32813
F2,9,8206.334961,20922.1875
F3,9,10508.8877,30116.2168
F4,9,8794.277344,26745.82617
F5,9,9274.804688,22608.16211
F6,9,10090.42676,23079.65039
F7,9,8679.06543,21641.69141
F8,9,13043.26563,36034.62891
F9,9,11797.92188,34423.49219
F10,9,9329.22168,22522.78711
F11,9,8559.219727,20948.06641
F12,9,8544.375977,19881.95703
G1,9,7260.542969,18627.23242
G2,9,8249.498047,20815.95117
G3,9,10772.28223,24331.36133
G4,9,11459.19141,33117.67578
G5,9,11501.17578,33987.28516
G6,9,9790.799805,22308.92578
G7,9,8387.147461,20767.38867
G8,9,11075.66699,31800.51367
G9,9,10953.00781,31801.41992
G10,9,7770.103516,19204.13086
G11,9,7473.779785,19214.43945
G12,9,8846.3125,20377.40625
H1,9,5679.677246,15620.80566
H2,9,7805.025391,20263.83984
H3,9,9754.751953,23135.68945
H4,9,10251.46191,30523.66211
H5,9,11445.14648,34212.15234
H6,9,9617.431641,22661.00195
H7,9,7802.835938,19841.19336
H8,9,10250.51563,30017.24609
H9,9,10367.62793,31187.6543
H10,9,7858.029785,19252.82813
H11,9,5529.049805,14798.71094
H12,9,7730.064453,18406.48828
A1,10,7991.092773,20106.17969
A2,10,15746.5127,35291.69531
A3,10,9957.258789,28277.38086
A4,10,10767.18359,31110.61523
A5,10,8567.59082,20809.32813
A6,10,9479.829102,21737.66797
A7,10,8650.542969,26504.39453
A8,10,11018.10742,31620.11523
A9,10,9423.073242,27851.30859
A10,10,8100.35791,19827.46289
A11,10,7909.572754,18351.26758
A12,10,7741.182617,18433.84766
B1,10,7969.480957,19971.21094
B2,10,8850.382813,22471.15625
B3,10,11143.82031,31337.9707
B4,10,10776.83984,31207.26563
B5,10,8548.707031,20216.88477
B6,10,10188.65332,22908.10742
B7,10,9283.052734,27977.65625
B8,10,10538.99414,30691.58984
B9,10,10510.61328,29916.91992
B10,10,8797.320313,21437.29883
B11,10,8061.252441,19565.80664
B12,10,9335.875,21179.42578
C1,10,9184.433594,21612.33008
C2,10,8531.473633,21505.32813
C3,10,11422.37793,32147.42969
C4,10,12142.53027,34841.40625
C5,10,9783.56543,22897.83008
C6,10,12932.46191,28679.38867
C7,10,9044.431641,22288.9375
C8,10,11544.85645,33170.28516
C9,10,10846.61816,30152.64648
C10,10,9119.423828,21733.56641
C11,10,7964.752441,19528.58398
C12,10,10221.03125,22864.40234
D1,10,9364.070313,21764.19531
D2,10,8729.631836,21763.76563
D3,10,10543.49414,30255.33398
D4,10,10506.35449,31029.88672
D5,10,9579.773438,22467.15039
D6,10,9357.549805,22482.17578
D7,10,7002.416504,17801.62891
D8,10,11495.3125,32950.83594
D9,10,11536.69434,32583.26953
D10,10,8827.731445,21276.10938
D11,10,7402.953125,18547.05469
D12,10,10296.21875,23085.75
E1,10,8954.125977,21332.66797
E2,10,8330.703125,20710.04102
E3,10,10249.16113,29613.41992
E4,10,13460.30273,37706.92969
E5,10,10351.35449,24870.7207
E6,10,9609.132813,21907.32422
E7,10,6029.449219,16070.5957
E8,10,11859.9082,33025.45703
E9,10,10793.68359,31027.08008
E10,10,8466.769531,20565.26953
E11,10,8136.417969,19958.06836
E12,10,10215.02051,22931.61328
F1,10,9398.999023,21813.5625
F2,10,8194.754883,20824.29102
F3,10,10527.65625,29962.9043
F4,10,8822.322266,26749.70703
F5,10,9254.208008,22544.99219
F6,10,10116.59961,23052.7793
F7,10,8679.204102,21580.17188
F8,10,13066.99414,35966.51172
F9,10,11793.10645,34313.35156
F10,10,9372.350586,22554.32617
F11,10,8607.776367,20990.42578
F12,10,8498.108398,19783.73047
G1,10,7250.888672,18615.625
G2,10,8211.041016,20706.05664
G3,10,10789.20801,24321.75391
G4,10,11437.39844,32979.56641
G5,10,11508.73438,33871.75391
G6,10,9818.564453,22350.91797
G7,10,8380.235352,20703.24023
G8,10,11077.48828,31693.62109
G9,10,10943.04785,31661.00977
G10,10,7745.29248,19145.60742
G11,10,7480.273926,19197.48633
G12,10,8819.297852,20311.63281
H1,10,5656.63916,15593.53223
H2,10,7789.835938,20210.09961
H3,10,9765.897461,23105.34961
H4,10,10245.03711,30405.59961
H5,10,11453.41016,34048.47266
H6,10,9635.158203,22630.17578
H7,10,7807.300781,19810.48828
H8,10,10260.98535,29913.22656
H9,10,10343.00879,30983.18945
H10,10,7884.291016,19272.57031
H11,10,5559.001953,14830.14063
H12,10,7733.235352,18369.00195
A1,11,7983.527832,20069.19336
A2,11,15791.39355,35306.33203
A3,11,9935.213867,28117.57422
A4,11,10758.66504,30990.88672
A5,11,8566.290039,20797.91016
A6,11,9471.368164,21707.83398
A7,11,8650.505859,26358.82031
A8,11,11038.6709,31528.44922
A9,11,9436.344727,27785.41406
A10,11,8077.220703,19757.79688
A11,11,7901.28125,18305.4375
A12,11,7721.361328,18382.09766
B1,11,7983.780762,19968.99805
B2,11,8871.066406,22494.44531
B3,11,11143.96191,31235.51758
B4,11,10822.14453,31217.19531
B5,11,8568.535156,20209.6582
B6,11,10223.96289,22942.34766
B7,11,9306.266602,27932.01953
B8,11,10525.75781,30560.39453
B9,11,10517.16406,29761.48828
B10,11,8789.525391,21408.68164
B11,11,8103.600098,19595.67188
B12,11,9338.435547,21163.64648
C1,11,9192.727539,21568.32813
C2,11,8532.379883,21433.94922
C3,11,11417.4668,32018.24805
C4,11,12144.95801,34714.51172
C5,11,9794.696289,22917.48828
C6,11,12906.96289,28607.45508
C7,11,9039.334961,22241.12305
C8,11,11554.66602,33057.95313
C9,11,10927.94238,30266.45508
C10,11,9117.143555,21727.6543
C11,11,7965.431152,19538.60352
C12,11,10192.23047,22775.92188
D1,11,9367.174805,21703.30078
D2,11,8768.266602,21798.08008
D3,11,10587.20898,30232.76953
D4,11,10391.00977,30636.47266
D5,11,9587.164063,22437.94531
D6,11,9296.261719,22397.00586
D7,11,7017.072754,17832.71484
D8,11,11508.02441,32859.88281
D9,11,11597.25586,32647.4375
D10,11,8829.419922,21261.06445
D11,11,7363.07666,18463.61719
D12,11,10244.32227,22979.17969
E1,11,8930.035156,21234.70313
E2,11,8368.285156,20747.625
E3,11,10252.1709,29468.0625
E4,11,13340.15625,37328.07813
E5,11,10360.59277,24849.5957
E6,11,9622.433594,21884.73633
E7,11,6033.264648,16077.41797
E8,11,11932.42773,33051.33984
E9,11,10843.91504,31076.15625
E10,11,8456.097656,20510.6875
E11,11,8118.148926,19898.07813
E12,11,10209.89355,22890.47656
F1,11,9365.151367,21746.76172
F2,11,8226.861328,20865.94922
F3,11,10539.28906,29886.7793
F4,11,8816.654297,26675.8418
F5,11,9259.316406,22497.625
F6,11,10130.04688,23050.98438
F7,11,8660.021484,21489.77539
F8,11,13084.02344,35836.53906
F9,11,11776.25195,34201.48828
F10,11,9320.826172,22455.50586
F11,11,8593.776367,20937
F12,11,8479.375,19725.6875
G1,11,7271.128906,18628.55469
G2,11,8218.43457,20661.99609
G3,11,10784.41895,24307.79883
G4,11,11474.06543,32977.08594
G5,11,11542.87012,33833.22266
G6,11,9832.958008,22314.24414
G7,11,8399.90625,20710.20703
G8,11,11062.7041,31494.62891
G9,11,10905.90527,31450.5625
G10,11,7745.368652,19102.95508
G11,11,7469.127441,19160.61328
G12,11,8815.094727,20273.46875
H1,11,5641.131348,15556.57617
H2,11,7803.391113,20174.26953
H3,11,9765.177734,23088.00391
H4,11,10216.67188,30260.23242
H5,11,11439.1543,33932.72266
H6,11,9644.895508,22622.72266
H7,11,7815.893066,19791.19141
H8,11,10259.4541,29800.77734
H9,11,10326.11719,30853.51367
H10,11,7881.137207,19228.25195
H11,11,5550.725586,14796.74023
H12,11,7700.318359,18321.41797
A1,12,7964.77832,19983.11719
A2,12,15805.28125,35303.33203
A3,12,9932.560547,27968.71289
A4,12,10752.84375,30834.48633
A5,12,8560.820313,20745.70117
A6,12,9484.709961,21683.54883
A7,12,8633.322266,26245.15039
A8,12,11046.61133,31431.97852
A9,12,9422.976563,27634.61133
A10,12,8094.09375,19771.48438
A11,12,7926.854492,18322.5625
A12,12,7704.072754,18359.38086
B1,12,8007.979492,19988.58789
B2,12,8871.702148,22474.14844
B3,12,11175.36523,31136.64844
B4,12,10759.75488,30949.9668
B5,12,8551.886719,20161.20898
B6,12,10212.16016,22881.0293
B7,12,9271.851563,27712.13281
B8,12,10516.47266,30408.19727
B9,12,10550.23242,29735.90039
B10,12,8822.509766,21431.24219
B11,12,7997.635742,19371.06836
B12,12,9345.980469,21164.02539
C1,12,9181.870117,21493.64844
C2,12,8530.81543,21404.83008
C3,12,11374.77734,31769.21289
C4,12,12164.02637,34687.02734
C5,12,9842.208984,22961.48633
C6,12,12981.59668,28686.18359
C7,12,9088.299805,22318.25586
C8,12,11574.3418,32966.23438
C9,12,10903.07715,30099.56836
C10,12,9116.322266,21734.38281
C11,12,7982.727539,19488.53516
C12,12,10199.43652,22773.99805
D1,12,9326.104492,21575.20117
D2,12,8701.206055,21617.85742
D3,12,10563.08105,30050.66797
D4,12,10556.83594,30911.66992
D5,12,9580.176758,22380.1582
D6,12,9305.399414,22478.27344
D7,12,7037.32666,17832.82617
D8,12,11528.70215,32771.39844
D9,12,11589.40234,32474.62305
D10,12,8843.296875,21262.72852
D11,12,7434.730957,18553.29883
D12,12,10268.04199,23005.53125
E1,12,8895.569336,21125.08008
E2,12,8340.956055,20636.81836
E3,12,10230.70801,29314.10156
E4,12,13533.69238,37669.57031
E5,12,10385.20898,24843.3125
E6,12,9605.887695,21796.63086
E7,12,6044.058594,16068.0127
E8,12,11936.37891,32954.86328
E9,12,10834.10059,30929.89453
E10,12,8516.720703,20613.41211
E11,12,8188.294922,19988.32813
E12,12,10235.57422,22950.59766
F1,12,9360.12207,21697.98633
F2,12,8169.34082,20675.16992
F3,12,10558.91309,29815.08008
F4,12,8852.892578,26689.42188
F5,12,9275.862305,22507.41602
F6,12,10149.19434,23065.62891
F7,12,8682.607422,21512.30469
F8,12,13069.79199,35677.10547
F9,12,11697.08008,33915.97656
F10,12,9427.319336,22636.44531
F11,12,8625.734375,21032.55859
F12,12,8471.875,19688.19922
G1,12,7271.942871,18605.05469
G2,12,8257.172852,20711.96289
G3,12,10811.33496,24290.13672
G4,12,11457.92188,32873.24609
G5,12,11551.89941,33731.62109
G6,12,9849.573242,22311.32813
G7,12,8405.44043,20661.53711
G8,12,11084.64453,31433.63086
G9,12,10934.44531,31384.57617
G10,12,7728.640137,19075.36914
G11,12,7450.108398,19096.42773
G12,12,8778.898438,20180.9043
H1,12,5665.1875,15597.69531
H2,12,7800.723145,20137.28516
H3,12,9763.717773,23058.6582
H4,12,10238.12988,30228.24219
H5,12,11450.82324,33786.87891
H6,12,9647.098633,22576.92969
H7,12,7808.186523,19731.22461
H8,12,10268.92578,29718.05078
H9,12,10304.58984,30681.32617
H10,12,7870.812988,19167.89453
H11,12,5541.833984,14763.05078
H12,12,7687.303223,18287.13086
A1,13,7941.509277,19846.49805
A2,13,15829.92383,35306.07422
A3,13,9948.186523,27925.41211
A4,13,10769.49316,30731.82422
A5,13,8562.124023,20706.96484
A6,13,9472.234375,21613.99023
A7,13,8621.511719,26122.44336
A8,13,11048.24316,31322.35547
A9,13,9401.839844,27473.09766
A10,13,8068.023926,19708.94531
A11,13,7928.012207,18300.7207
A12,13,7722.110352,18349.73828
B1,13,8093.202637,20133.44336
B2,13,8900.859375,22490.08398
B3,13,11149.19824,31002.61914
B4,13,10786.85449,30897.85547
B5,13,8573.077148,20176.80859
B6,13,10230.80469,22886.59375
B7,13,9290.354492,27681.83984
B8,13,10531.97656,30355.88867
B9,13,10577.93652,29706.74023
B10,13,8812.8125,21385.53906
B11,13,7958.776367,19240.49805
B12,13,9301.143555,21079.07422
C1,13,9171.585938,21397.94922
C2,13,8551.178711,21418.33984
C3,13,11494.06641,31933.9082
C4,13,12163.03223,34514.94531
C5,13,9800.493164,22822.21875
C6,13,12963.68945,28608.12305
C7,13,9035.178711,22171.0293
C8,13,11577.53027,32867.60547
C9,13,10899.34082,29984.01563
C10,13,9109.337891,21696.96875
C11,13,8050.864258,19605.85742
C12,13,10192.30957,22743.38477
D1,13,9283.893555,21420.36328
D2,13,8792.183594,21781.81836
D3,13,10596.57227,29996.34375
D4,13,10535.76758,30803.69141
D5,13,9506.126953,22183.83789
D6,13,9250.457031,22425.69531
D7,13,7064.193848,17832.77539
D8,13,11507.43945,32595.23828
D9,13,11549.47949,32269.58594
D10,13,8818.768555,21164.0957
D11,13,7498.365723,18680.9082
D12,13,10261.46973,22992.26367
E1,13,8891.670898,21086.29883
E2,13,8417.975586,20778.30859
E3,13,10306.16406,29411.15625
E4,13,13547.73926,37606.50781
E5,13,10421.30469,24867.56055
E6,13,9601.081055,21759.63086
E7,13,6068.327148,16080.85352
E8,13,11898.66602,32756.70117
E9,13,10789.97266,30712.23047
E10,13,8482.666016,20522.7793
E11,13,8235.854492,20074.41016
E12,13,10224.13281,22866.69336
F1,13,9351.927734,21632.13867
F2,13,8274.657227,20883.00391
F3,13,10608.63281,29833.81445
F4,13,8889.491211,26713.35938
F5,13,9311.545898,22541.25391
F6,13,10140.36133,23001.48047
F7,13,8709.491211,21499.6582
F8,13,13061.07617,35505.60547
F9,13,11657.94922,33697.77344
F10,13,9418.180664,22594.41797
F11,13,8709.950195,21149.16797
F12,13,8476.289063,19717.83008
G1,13,7307.76123,18636.64258
G2,13,8214.538086,20553.24023
G3,13,10817.65918,24253.33594
G4,13,11450.97656,32755.62305
G5,13,11552.72656,33589.95703
G6,13,9878.088867,22319.42578
G7,13,8401.711914,20613.43164
G8,13,11107.72949,31403.53711
G9,13,10949.49023,31331.94531
G10,13,7693.662598,18957.88672
G11,13,7423.266602,19062.15234
G12,13,8776.427734,20191.91211
H1,13,5640.365723,15544.89258
H2,13,7793.903809,20081.66797
H3,13,9771.49707,23039.33398
H4,13,10221.69727,30103.5
H5,13,11441.2207,33650.52734
H6,13,9638.546875,22534.24414
H7,13,7807.328613,19681.33594
H8,13,10245.30566,29559.10742
H9,13,10282.40918,30528
H10,13,7882.069824,19176.66211
H11,13,5542.108398,14780.70313
H12,13,7685.442383,18248.01953
A1,14,7989.616211,19926.26953
A2,14,15830.43164,35274.26953
A3,14,9931.367188,27805.41797
A4,14,10762.75391,30639.08789
A5,14,8550.948242,20679.08984
A6,14,9488.026367,21624.87891
A7,14,8629.935547,26014.81641
A8,14,11062.19336,31249.46094
A9,14,9416.399414,27434.17773
A10,14,8053.896973,19676.34375
A11,14,7950.00293,18311.09375
A12,14,7706.02002,18301.31055
B1,14,8004.098633,19891.05273
B2,14,8879.791016,22406.59375
B3,14,11154.09961,30890.82422
B4,14,10801.16992,30826.18164
B5,14,8566.308594,20128.77344
B6,14,10272.85938,22939.41016
B7,14,9264.564453,27531.25391
B8,14,10538.30664,30244.65039
B9,14,10628.61914,29703.20703
B10,14,8812.558594,21374.4082
B11,14,7893.160645,19078.64648
B12,14,9294.935547,21051.73047
C1,14,9158.729492,21411.70117
C2,14,8590.579102,21458.90039
C3,14,11513.47559,31840.07422
C4,14,12168.80469,34432.97656
C5,14,9853.74707,22891.97266
C6,14,12951.20508,28575.04297
C7,14,9029.832031,22121.27539
C8,14,11597.21777,32770.60938
C9,14,10895.94629,29907.41211
C10,14,9115.110352,21665.27539
C11,14,8060.987793,19567.54688
C12,14,10163.83789,22666.48438
D1,14,9327.793945,21517.91406
D2,14,8829.77832,21787.27148
D3,14,10603.97363,29903.82227
D4,14,10529.42969,30683.70898
D5,14,9573.15918,22274.39648
D6,14,9188.314453,22362.12305
D7,14,7082.435547,17854.25195
D8,14,11530.9209,32551.75977
D9,14,11519.78516,32127.19336
D10,14,8821.533203,21159.50391
D11,14,7532.341309,18702.34961
D12,14,10253.83398,22945.05859
E1,14,8935.544922,21136.55859
E2,14,8446.148438,20754.79297
E3,14,10261.65137,29179.64844
E4,14,13522.7002,37427.71484
E5,14,10474.43848,24869.66602
E6,14,9611.325195,21720.81641
E7,14,6110.935547,16101.90723
E8,14,11944.07422,32704.09375
E9,14,10763.30078,30551.95703
E10,14,8489.681641,20505.02734
E11,14,8244.861328,20049.77344
E12,14,10277.3457,22957.63086
F1,14,9341.521484,21595.95508
F2,14,8221.510742,20657.88086
F3,14,10619.62207,29737.85938
F4,14,8886.544922,26632.35547
F5,14,9347.78418,22572.42773
F6,14,10172.53809,23022.75586
F7,14,8752.125977,21587.50195
F8,14,13065.9043,35414.39063
F9,14,11616.49316,33505.47656
F10,14,9415.211914,22552.02539
F11,14,8722.09375,21146.08203
F12,14,8502.587891,19747.26758
G1,14,7289.213379,18588.52344
G2,14,8198.892578,20553.08789
G3,14,10819.71387,24224.52734
G4,14,11479.62109,32738.45703
G5,14,11550.22949,33439.79688
G6,14,9909.626953,22338.79883
G7,14,8395.658203,20559.97852
G8,14,11107.2334,31298.35352
G9,14,10964.80469,31263.62305
G10,14,7661.189941,18863.50195
G11,14,7407.797852,19002.38867
G12,14,8762.957031,20159.90039
H1,14,5647.267578,15557.8291
H2,14,7783.228516,20000.73242
H3,14,9780.767578,23003.57227
H4,14,10203.76855,29989.95703
H5,14,11461.05273,33573.44531
H6,14,9657.758789,22541.21289
H7,14,7794.71875,19641.43359
H8,14,10251.25098,29460.89063
H9,14,10271.22363,30388.25195
H10,14,7860.756348,19123.58398
H11,14,5523.380859,14732.84863
H12,14,7650.945313,18176.68945
A1,15,7962.740234,19807.64258
A2,15,15873.62793,35296.07422
A3,15,9912.96875,27621.28906
A4,15,10776.5459,30565.44336
A5,15,8560.023438,20664.75586
A6,15,9487.285156,21574.17969
A7,15,8593.413086,25828.75586
A8,15,11048.41895,31128.22852
A9,15,9411.897461,27357.31055
A10,15,8043.507324,19628.91406
A11,15,7971.394043,18352.14063
A12,15,7672.771973,18252.9082
B1,15,8066.498047,20001.10352
B2,15,8918.255859,22442.0293
B3,15,11214.10156,30882.54492
B4,15,10799.28027,30740.28125
B5,15,8568.1875,20110.07422
B6,15,10301.0498,22933.375
B7,15,9308.714844,27554.25
B8,15,10546.3291,30130.45508
B9,15,10671.90918,29664.04883
B10,15,8798.189453,21333.70898
B11,15,7850.466797,18957.44727
B12,15,9273.478516,20989.04492
C1,15,9111.890625,21233.11328
C2,15,8576.12207,21397.56641
C3,15,11426.94141,31547.80859
C4,15,12175.2793,34333.37891
C5,15,9849.762695,22832.75
C6,15,12963.71094,28530.7793
C7,15,9016.916992,22044.58203
C8,15,11597.6377,32666.90039
C9,15,10912.6377,29808.07031
C10,15,9105.170898,21619.98438
C11,15,8104.240234,19607.03906
C12,15,10164.75879,22665.71875
D1,15,9258.77832,21335.58398
D2,15,8810.085938,21731.12891
D3,15,10663.96191,29909.34766
D4,15,10549.83691,30632.56641
D5,15,9556.469727,22216.53711
D6,15,9175.036133,22413.61523
D7,15,7126.435547,17885.76172
D8,15,11577.38281,32541.22461
D9,15,11519.97461,32028.63672
D10,15,8829.856445,21142.22852
D11,15,7588.558594,18783.82813
D12,15,10211.16699,22851.70508
E1,15,8915.055664,21038.52344
E2,15,8445.701172,20741.44922
E3,15,10315.28906,29209.64063
E4,15,13586.02441,37511.80859
E5,15,10503.00781,24928.96875
E6,15,9638.587891,21723.92578
E7,15,6144.166504,16157.11914
E8,15,11957.91113,32625.67383
E9,15,10758.53809,30471.04297
E10,15,8493.608398,20514.91016
E11,15,8286.381836,20102.30273
E12,15,10151.38867,22696.47266
F1,15,9345.614258,21571.68555
F2,15,8259.791016,20726.33984
F3,15,10643.21484,29677.85156
F4,15,8933.726563,26654.48438
F5,15,9356.439453,22552.38281
F6,15,10195.91602,23039.26172
F7,15,8767.845703,21589.78516
F8,15,13141.78711,35465.55469
F9,15,11604.55273,33386.89844
F10,15,9406.03418,22525.68945
F11,15,8776.837891,21232.12305
F12,15,8400.063477,19510.38281
G1,15,7273.511719,18531.47656
G2,15,8240.993164,20545.07422
G3,15,10819.63379,24184.91406
G4,15,11461.63086,32588.31445
G5,15,11555.50391,33366.29688
G6,15,9922.587891,22332.07227
G7,15,8419.719727,20546.80469
G8,15,11111.43848,31180.33789
G9,15,10975.25293,31194.67188
G10,15,7652.259766,18812.18359
G11,15,7391.382324,18954.18359
G12,15,8741.667969,20088.79297
H1,15,5644.586426,15508.45996
H2,15,7800.983887,20006.06836
H3,15,9796.225586,23011.85352
H4,15,10208.91504,29895.95703
H5,15,11456.55469,33455.89453
H6,15,9665.484375,22502.23438
H7,15,7796.432617,19608.96875
H8,15,10273.68945,29393.51172
H9,15,10257.05371,30250.51172
H10,15,7864.902344,19126.37109
H11,15,5519.524902,14729.50781
H12,15,7632.780273,18127.54102
A1,16,7995.129395,19841.88477
A2,16,15881.95605,35294.60938
A3,16,9936.500977,27605.57813
A4,16,10756.1709,30380.83594
A5,16,8539.561523,20608.99805
A6,16,9483.235352,21535.7793
A7,16,8589.169922,25770.73633
A8,16,11045.22266,30997.24023
A9,16,9402.071289,27195.13281
A10,16,8035.097168,19576.31055
A11,16,7925.580566,18241.78711
A12,16,7678.681152,18225.25977
B1,16,8047.169922,19946.96484
B2,16,8901.834961,22423.64063
B3,16,11187.43945,30740.01563
B4,16,10780.9834,30570.79297
B5,16,8582.179688,20098.80078
B6,16,10292.00684,22888.83203
B7,16,9297.233398,27402.47852
B8,16,10533.03711,30030.98828
B9,16,10615.99414,29450.00781
B10,16,8824.634766,21334.66992
B11,16,7911.653809,19068.05664
B12,16,9282.15918,20999.03125
C1,16,9186.056641,21379.02539
C2,16,8586.183594,21380.18359
C3,16,11522.42969,31663.41602
C4,16,12219.71289,34376.87109
C5,16,9863.489258,22829.5293
C6,16,12999.41504,28562.91211
C7,16,9025.102539,22050.49414
C8,16,11589.55078,32524.84375
C9,16,10899.76465,29680.07031
C10,16,9114.682617,21620.03125
C11,16,8090.580078,19542.71094
C12,16,10145.85938,22599.12305
D1,16,9356.12207,21509.39258
D2,16,8811.49707,21667.43945
D3,16,10619.69531,29710.98828
D4,16,10632.01563,30719.48633
D5,16,9524.838867,22108.94336
D6,16,9114.043945,22352.4082
D7,16,7100.975586,17771.62305
D8,16,11552.76953,32355
D9,16,11532.44141,31933.67969
D10,16,8850.242188,21178.37891
D11,16,7589.314453,18774.33594
D12,16,10223.16113,22867.00195
E1,16,8972.000977,21155.78516
E2,16,8457.879883,20733.78906
E3,16,10331.09277,29134.18945
E4,16,13623.75391,37427.78516
E5,16,10512.63184,24906.14258
E6,16,9639.642578,21699.02344
E7,16,6162.417969,16147.81348
E8,16,11959.49023,32523.98438
E9,16,10740.2373,30297.63672
E10,16,8509.404297,20513.15234
E11,16,8306.003906,20137.45898
E12,16,10199.83594,22757.29297
F1,16,9365.314453,21563.70117
F2,16,8277.255859,20707.23828
F3,16,10657.71973,29606.51367
F4,16,8907.255859,26518.57617
F5,16,9384.834961,22591.53906
F6,16,10218.84277,23051.00586
F7,16,8792.665039,21637.66406
F8,16,13149.4873,35373.53906
F9,16,11608.5957,33288.55469
F10,16,9404.541992,22483.73047
F11,16,8771.973633,21207.79492
F12,16,8469.088867,19627.09961
G1,16,7253.297363,18482.11914
G2,16,8215.833008,20507.5293
G3,16,10818.55566,24164.375
G4,16,11458.82422,32537.32617
G5,16,11574.81934,33279.375
G6,16,9922.481445,22325.97461
G7,16,8372.648438,20394.59961
G8,16,11131.91211,31124.36719
G9,16,11017.69043,31217.08008
G10,16,7655.84082,18822.13672
G11,16,7374.23584,18902.33984
G12,16,8720.02832,20024.28906
H1,16,5643.530273,15491.62109
H2,16,7780.35498,19946.7168
H3,16,9791.759766,22956.73438
H4,16,10206.70996,29806.21289
H5,16,11457.26172,33340.07813
H6,16,9668.275391,22470.28906
H7,16,7773.166992,19512.16016
H8,16,10263.20313,29280.23047
H9,16,10251.52148,30156.41406
H10,16,7834.555664,19030.16602
H11,16,5488.820313,14672.94434
H12,16,7623.414551,18099.53516
A1,17,7972.747559,19750.64844
A2,17,15898.02734,35277.27344
A3,17,9928.607422,27530.5332
A4,17,10751.00293,30299.34961
A5,17,8549.384766,20583.95703
A6,17,9479.256836,21490.11523
A7,17,8610.242188,25727.1543
A8,17,11025.71094,30832.17578
A9,17,9410.223633,27115.14258
A10,17,8015.041504,19528.7168
A11,17,7927.834473,18245.0918
A12,17,7667.345703,18182.95898
B1,17,8099.653809,20024.19336
B2,17,8907.435547,22408.43164
B3,17,11169.50586,30618.64844
B4,17,10782.26172,30500.38477
B5,17,8573.319336,20034.19727
B6,17,10274.29492,22822.86914
B7,17,9297.630859,27281.79883
B8,17,10491.00781,29828.71094
B9,17,10655.81738,29429.4043
B10,17,8805.082031,21303.26172
B11,17,7923.000977,19050.80078
B12,17,9265.807617,20941.76367
C1,17,9147.408203,21227.46094
C2,17,8608.378906,21380.11328
C3,17,11595.48047,31755.02539
C4,17,12221.52734,34269.15625
C5,17,9878.789063,22830.44922
C6,17,13018.31055,28539.65625
C7,17,9127.744141,22266.61133
C8,17,11574.13672,32367.46289
C9,17,10889.70117,29570.05469
C10,17,9113.441406,21595.51172
