site-ID	sample-date	phylum	subphylum	class	order	family	genus	species	identifier	ID-confirmation	archive-locat	notes
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Coleoptera	Hydrophilidae	sp	sp	KC		050_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	KC		023_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Diptera	Limoniidae	sp	sp	KC		023_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Ephemerellidae	sp	sp	KC		048_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		021_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		021_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		021_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		021_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		021_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		047_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		047_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Heptageniidae	sp	sp	KC		047_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Ephemeroptera	Leptophlebiidae	sp	sp	KC		049_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	KC		025_SCH_2022-09-11	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	sp	sp	KC		027_SCH_2022-09-11	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Nemouridae	sp	sp	KC		014_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Peltoperlidae	sp	sp	KC		042_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlidae	sp	sp	KC		011_SCH_2022-09-01	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Plecoptera	Perlodidae	sp	sp	KC		051_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		010_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		010_SCH_2022-11-09	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
SCHB	2022-11-02	Arthropoda	Hexapoda	Insecta	Trichoptera	Hydropsychidae	sp	sp	KC		028_SCH_2022-11-19	
