"STATION","NAME","DATE","PRCP"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-02","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-03","0.51"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-04","0.19"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-05","0.11"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-06","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-08","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-09","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-10","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-13","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-14","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-15","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-16","0.78"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-17","0.73"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-18","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-19","0.01"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-20","0.24"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-21","0.01"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-23","0.17"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-24","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-27",
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-28","0.24"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-30","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-05-31","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-01","0.03"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-02","0.24"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-03","0.21"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-04","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-05","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-10",
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-11","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-12","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-13","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-14","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-15","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-16","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-17","0.03"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-18","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-19","0.22"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-20","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-21","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-22","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-23","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-24","0.72"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-25","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-26","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-27","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-28","0.05"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-29","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-06-30","0.06"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-01","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-02","0.03"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-03","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-04","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-05","0.00"
"US1NHHL0104","MERRIMACK 1.5 W, NH US","2022-07-06","0.63"
