Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.3\experiments\qPCR_brk_2024-11-08.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-11-08 12:46:44 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C?,C? Mean,C? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
C5,25,BRK2,UNKNOWN,FAM,NFQ-MGB,35.35412979,34.6873436,0.598832786,0.00670145,0.004536545,0.001909999,TRUE,0.137240904,TRUE,3,31,,N,Y,N,N,N
C6,19,BRK2,UNKNOWN,FAM,NFQ-MGB,34.43751144,34.17403793,0.354702026,0.003632041,0.003100731,0.000686087,TRUE,0.137240904,TRUE,3,30,,N,N,N,N,N
C7,24,BRK2,UNKNOWN,FAM,NFQ-MGB,33.1992836,33.20113373,0.138978645,0.001587802,0.001594341,0.000148047,TRUE,0.137240904,TRUE,3,29,,N,N,N,N,N
C8,6,BRK2,UNKNOWN,FAM,NFQ-MGB,32.70207596,33.11741638,0.603521943,0.001138933,0.001623087,0.000738243,TRUE,0.137240904,TRUE,3,28,,N,Y,N,N,N
C9,15,BRK2,UNKNOWN,FAM,NFQ-MGB,31.13790894,30.94874763,0.267514467,0.000400452,0.000355724,6.32549E-05,TRUE,0.137240904,TRUE,3,26,,N,N,N,N,N
C10,9,BRK2,UNKNOWN,FAM,NFQ-MGB,32.7759285,32.56439209,0.400683641,0.001196552,0.00106252,0.000260025,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
C11,14,BRK2,UNKNOWN,FAM,NFQ-MGB,32.37337112,32.44619751,0.114203937,0.000914329,0.000961818,7.49179E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
C12,,BRK2,STANDARD,FAM,NFQ-MGB,34.78302383,35.41940308,0.899976134,0.007,,,TRUE,0.137240904,TRUE,3,30,,N,Y,N,N,N
D1,8,BRK2,UNKNOWN,FAM,NFQ-MGB,32.61481857,32.61721802,0.109837182,0.001074421,0.001078081,7.91713E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
D2,22,BRK2,UNKNOWN,FAM,NFQ-MGB,32.84900284,32.79402161,0.060203452,0.001256432,0.001211759,4.85169E-05,TRUE,0.137240904,TRUE,3,28,,N,N,N,N,N
