site-ID	sample-date	phylum	subphylum	class	order	family	genus	species	identifier	ID-confirmation	archive-locat	notes
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Coleoptera	Elmidae	sp	sp	KC		008-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	sp	sp	KC		003-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Chironomidae	sp	sp	KC		003-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
RAND	2023-07-07	Arthropoda	Hexapoda	Insecta	Diptera	Pediciidae	sp	sp	KC		002-RND-2023	
